SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
8,25704598000.0,37324026000.0,398072050000.0,45.561153,3.9756587,191.9302,90.31834,461189000000.0,0.0,4.8027377
11,9942768000.0,37487608000.0,229300220000.0,25.054882,1.058097,164.30688,83.14966,276782840000.0,0.0,8.711929
17,8177316400.0,8527347000.0,214513070000.0,40.584583,0.5998463,129.1892,63.097786,231246790000.0,0.0,3.0411348
20,3438600700.0,18321224000.0,133444500000.0,15.716292,0.8316901,155.35207,85.644264,155263630000.0,0.0,3.9601936
37,5167197700.0,3898072800.0,82453410000.0,22.837128,0.40965047,95.56574,52.72966,91529340000.0,0.0,5.0807924
44,5595889700.0,3734585900.0,63621124000.0,16.891312,1.0568721,100.277756,56.704617,72961070000.0,0.0,4.226481
45,5241955300.0,1603653500.0,80611650000.0,29.054821,0.18226968,83.977585,45.21598,87463076000.0,0.0,3.2726533
48,1895037000.0,1726218400.0,89961546000.0,29.87388,0.09158535,88.89943,48.15991,93590310000.0,0.0,2.430888
53,1392098800.0,1464614300.0,76193520000.0,29.929804,0.066076726,78.03424,42.471893,79055540000.0,0.0,3.8188484
56,1464505100.0,3025998300.0,55933300000.0,14.645408,0.10555288,99.46853,52.52927,60439028000.0,0.0,2.3737082
57,1632868200.0,854828100.0,71173276000.0,32.258064,0.1411856,76.229744,41.181126,73665310000.0,0.0,2.0303805
63,892680600.0,2800266800.0,50635813000.0,13.289176,0.29470533,94.788994,57.44113,54337917000.0,0.0,3.2383652
69,3068574500.0,494116480.0,49518236000.0,26.450598,0.09491059,66.98306,36.6874,53080924000.0,0.0,1.7641112
81,1475291400.0,194941730.0,44937667000.0,31.268059,0.039008472,57.781853,32.852158,46609220000.0,0.0,0.6526322
83,961750340.0,844485000.0,40592593000.0,16.905743,0.11931212,76.18982,43.446285,42401423000.0,0.0,2.2620544
85,744698750.0,1332455300.0,37299302000.0,16.704426,0.13512632,76.24357,43.076782,39382712000.0,0.0,1.6361688
88,2270324000.0,163274600.0,37497135000.0,24.55015,0.045557432,61.428455,32.443478,39930733000.0,0.0,0.50078195
99,991551400.0,638215500.0,31808520000.0,18.04301,0.07099871,68.91797,37.627544,33440432000.0,0.0,1.2746583
119,378370400.0,240402720.0,27916739000.0,20.995647,0.023951449,54.35505,31.73505,28535513000.0,0.0,0.85200787
141,960776500.0,270374200.0,18449777000.0,8.283505,0.063918374,71.60406,46.702038,19680928000.0,0.0,1.3022468
154,431341250.0,313385570.0,18113098000.0,14.679799,0.030680114,52.97901,29.908844,18857824000.0,0.0,1.3384212
202,994996030.0,225137150.0,9739663000.0,11.202542,0.046155687,46.682816,26.855663,10959797000.0,0.0,0.8721848
63865,16736388000.0,342262100000.0,1552488700000.0,39.658447,4.9657173,459.27338,194.97334,1912156800000.0,0.0,10.471952
63867,42090460000.0,93325240000.0,736810400000.0,35.073696,4.28765,280.86996,139.81097,872447740000.0,0.0,9.7894535
63868,23431348000.0,80643285000.0,454209080000.0,23.594168,6.577327,250.91591,137.9812,558462700000.0,0.0,7.4374905
63869,28374980000.0,47103697000.0,551690100000.0,41.7936,1.4113895,205.2054,105.070404,627284500000.0,0.0,7.4254375
63871,22419250000.0,27142924000.0,476618200000.0,43.1792,0.36068472,205.6952,94.42694,526296220000.0,0.0,4.204291
63872,15277358000.0,40887763000.0,347825540000.0,25.6174,2.1084003,192.6234,105.35797,404026600000.0,0.0,8.736642
63877,6952920600.0,10675404000.0,159774490000.0,22.943811,1.2547646,132.63571,79.31715,177424150000.0,0.0,6.065179
63881,5073232400.0,5551437300.0,117040220000.0,26.302315,0.42393187,110.18252,57.330444,127680140000.0,0.0,4.4082627
63888,1368716400.0,6366927400.0,81331750000.0,21.469244,0.13456425,107.2203,54.00485,89092500000.0,0.0,2.7599897
63889,4903110700.0,2988242400.0,82009645000.0,17.640247,0.72835946,106.099396,64.98351,89910630000.0,0.0,3.230845
63890,7909687000.0,742698300.0,74531004000.0,29.579271,0.070013225,81.39098,43.29911,83188390000.0,0.0,1.7019218
63892,5069954600.0,1168371600.0,80772284000.0,28.908138,0.23198351,86.93115,46.23142,87019210000.0,0.0,1.8672726
63894,2714906000.0,5782262300.0,54320690000.0,12.379691,0.8223541,119.33439,61.939323,62834725000.0,0.0,2.419915
63895,3262298400.0,1735448200.0,81959280000.0,25.720016,0.4910713,89.41086,50.74161,86964625000.0,0.0,3.583666
63903,2184679400.0,2227487000.0,51292380000.0,19.27912,0.2706269,86.31704,44.80704,55710280000.0,0.0,4.59359
63909,4227349200.0,407186080.0,43348193000.0,24.787214,0.07195323,66.99631,35.838547,47982730000.0,0.0,1.2552899
63943,185745280.0,1891736400.0,13786626000.0,6.8224845,0.06322223,70.82624,41.356056,15871400000.0,0.0,3.134176
63958,98535096.0,303272220.0,19884521000.0,14.191378,0.013184935,56.754677,32.26402,20286329000.0,0.0,0.7350977
96765,53473087000.0,34809230000.0,517449480000.0,41.340294,5.1180854,191.28644,104.281456,605856400000.0,0.0,5.936686
96773,7762097000.0,10872913000.0,157834260000.0,42.01636,0.327734,131.31752,66.587906,176501650000.0,0.0,3.1884804
96784,1166862500.0,6088653000.0,94966370000.0,21.361652,0.17829493,114.70844,57.011406,102246080000.0,0.0,3.191176
96786,1837128600.0,6089087500.0,68015206000.0,13.689468,0.17408423,118.31044,61.501343,75962040000.0,0.0,2.8635669
96787,3661068800.0,1207139000.0,93424530000.0,34.7164,0.043037318,82.96968,44.097984,98300480000.0,0.0,1.5994837
96794,1210925700.0,7056503000.0,25089898000.0,6.776088,0.33183992,103.12382,63.038857,33372293000.0,0.0,4.6969194
96803,563531840.0,1144406800.0,40637060000.0,16.012362,0.07424557,75.863846,44.473785,42351792000.0,0.0,2.0239768
96818,241538690.0,165012850.0,24280416000.0,17.34971,0.012893626,60.30346,31.276348,24686967000.0,0.0,0.9581927
96821,166855900.0,327081950.0,18842268000.0,11.910955,0.03019473,60.491524,33.47583,19336204000.0,0.0,0.90428597
117255,79511880000.0,57556505000.0,936554900000.0,60.543594,2.6622367,273.58063,129.67648,1073897900000.0,0.0,3.9691699
117256,22963188000.0,86560380000.0,305023220000.0,18.982582,2.1364472,295.09314,129.81033,414744540000.0,0.0,5.2553806
117257,24977148000.0,22037858000.0,478838460000.0,63.793232,1.6255571,151.42123,77.7208,525889000000.0,0.0,7.0587835
117258,11991772000.0,32772760000.0,352442880000.0,42.85145,0.73574,198.65063,86.76432,397323240000.0,0.0,3.313444
117263,20335086000.0,16020676000.0,158157800000.0,21.431805,0.39239454,143.62717,81.272644,194536180000.0,0.0,6.046072
117264,14492403000.0,15300285000.0,188057400000.0,25.832218,1.1531756,141.09846,79.65327,217888900000.0,0.0,5.8621073
117265,12607731000.0,21736464000.0,143321200000.0,17.203411,1.895662,153.81567,85.46406,177706060000.0,0.0,6.7457414
117266,17291563000.0,25614440000.0,60746190000.0,7.8498025,4.478044,168.6587,105.01916,103694710000.0,0.0,5.403665
117267,6384043000.0,17376831000.0,168691960000.0,23.75429,0.42036834,146.04497,72.81239,192478180000.0,0.0,5.914275
117268,10148813000.0,12975321000.0,138402580000.0,25.250048,1.2466056,132.6772,66.30889,161560610000.0,0.0,5.291364
117269,18002620000.0,6391760000.0,150812100000.0,24.445827,0.4596651,124.27726,71.56452,175221230000.0,0.0,5.009918
117270,10150623000.0,12361753000.0,125461290000.0,21.191181,1.3181279,126.83054,66.18291,147998080000.0,0.0,5.5209346
117272,8910660000.0,12062500000.0,76706250000.0,13.580127,1.7664268,135.71663,74.074234,97703660000.0,0.0,4.5492496
117276,3162680000.0,2396767200.0,96145200000.0,30.03144,0.1612315,91.88522,47.600418,101716840000.0,0.0,3.1638389
117278,2565264100.0,7472730600.0,48513642000.0,9.835884,0.21681064,118.878716,62.547516,58578756000.0,0.0,3.3925543
117279,2302878200.0,5083686400.0,59414893000.0,14.452328,0.4005877,103.14217,57.726448,66813670000.0,0.0,3.5813854
117280,5159483400.0,2797176000.0,61826556000.0,21.008394,0.21967524,86.52077,51.114258,69791950000.0,0.0,4.068602
117283,3126443800.0,3149167900.0,57193353000.0,14.741726,0.58309746,100.74022,57.42334,63480054000.0,0.0,3.5492263
117285,2260762600.0,943643650.0,75693490000.0,28.33763,0.17313877,80.61286,43.94478,78905590000.0,0.0,1.4569774
117289,1413367600.0,3175739000.0,43177136000.0,12.091881,0.17727809,93.70113,50.366924,47776514000.0,0.0,4.133365
117291,7250867700.0,496536700.0,36505248000.0,23.97352,0.09826903,65.40408,34.692997,44252656000.0,0.0,1.6943088
117295,1386071800.0,1041457300.0,49261416000.0,20.884995,0.08014437,75.78966,43.45452,51694703000.0,0.0,2.611156
117297,1203033900.0,2420604700.0,37225796000.0,17.311018,0.114888616,73.96958,39.936417,40858235000.0,0.0,4.2386403
117298,214260540.0,534867360.0,45306110000.0,28.941994,0.020734597,65.03892,36.41077,46058680000.0,0.0,2.049533
117313,879128640.0,154119330.0,24199650000.0,19.684559,0.017715568,54.090816,28.438137,25232898000.0,0.0,0.63022894
117321,318110750.0,249960180.0,22947310000.0,14.84158,0.021093965,59.56738,32.866936,23515380000.0,0.0,0.61537206
117327,215723230.0,162392480.0,18997449000.0,16.859764,0.01289188,53.09538,28.825367,19375565000.0,0.0,0.57553285
143880,3920565600000.0,322401340000.0,33615962000000.0,537.48303,21.525595,473.95435,255.11674,37859640000000.0,0.0,12.905397
143881,249453690000.0,295843700000.0,5094640700000.0,133.11273,2.7929468,422.3797,181.33636,5640475000000.0,0.0,10.461674
143882,142541830000.0,281456570000.0,3190202800000.0,87.842926,2.9185824,531.464,183.68088,3614843900000.0,0.0,6.939243
143884,24815650000.0,218811000000.0,1086588900000.0,34.69684,3.169048,362.21753,173.91283,1330709900000.0,0.0,10.227796
143885,31213308000.0,221694570000.0,714129900000.0,21.409002,4.2745113,435.20914,195.24976,967427950000.0,0.0,5.701938
