SubhaloID,"$M_{gas},M_{\odot}$","$M_{stellar},M_{\odot}$","$M_{DM},M_{\odot}$",$R_{1/2M_{sub}}$(kpc),SFR($M_{\odot}/yr$),$V_{max}$(km/s),$\sigma_v$(km/s),M,z,$R_{1/2M_*}$
0,1672396900000.0,438665700000.0,15090773000000.0,114.14506,150.68855,1223.4978,375.2087,17202423000000.0,2.103,1.6182724
2,85905810000.0,102421080000.0,642280500000.0,19.16065,116.375145,425.2913,212.7556,830723260000.0,2.103,2.72402
3,69068770000.0,59237100000.0,570909000000.0,23.76488,46.26402,468.39285,166.167,699418200000.0,2.103,0.9901203
4,21341602000.0,6502758400.0,161923450000.0,17.5201,8.328861,157.22119,91.52204,189777220000.0,2.103,2.497432
5,3824276200.0,21605796000.0,72128864000.0,5.3231797,11.0234585,212.4603,113.34565,97604485000.0,2.103,2.2277322
6,15176038000.0,16772164000.0,49716072000.0,5.2103715,28.33765,194.91931,108.74869,81684710000.0,2.103,2.9363918
7,9804094000.0,18419155000.0,35598210000.0,2.866238,25.817326,219.2801,129.03667,63852410000.0,2.103,1.7924322
8,16855016000.0,3335847200.0,103518570000.0,16.239292,2.7637777,128.06651,78.8549,123717100000.0,2.103,2.0602674
9,5047214000.0,7637478000.0,51758838000.0,6.076178,3.8858054,154.51091,88.817055,64456270000.0,2.103,2.2010958
10,11222298000.0,1195382000.0,46951850000.0,13.516814,1.544317,97.9403,58.99896,59372420000.0,2.103,4.597138
12,4194603000.0,787604540.0,35091374000.0,10.100305,0.66549146,92.444176,54.43361,40075223000.0,2.103,2.298252
15,3531693800.0,1529659400.0,20026999000.0,5.9479966,0.608636,95.37602,55.59639,25092639000.0,2.103,1.7734765
16,894262100.0,2215019000.0,24565821000.0,5.4817743,1.3215008,104.71291,68.35851,27683336000.0,2.103,1.4342777
18,2938515500.0,431778370.0,17023197000.0,7.358372,0.5433671,77.66277,46.515938,20395411000.0,2.103,2.0088396
20,1402247400.0,1955640300.0,8790427000.0,2.1825395,1.6078477,109.77652,68.41826,12153542000.0,2.103,1.1655917
26,1170970600.0,165851800.0,11563269000.0,7.0352945,0.11527559,63.06479,37.010704,12900092000.0,2.103,2.1145165
29,450830200.0,925914700.0,5537972700.0,3.2922502,0.263635,72.84932,40.062767,6914718000.0,2.103,0.8812739
45,392464060.0,488349340.0,2119902500.0,2.0794213,0.18066363,55.991173,34.575874,3000715800.0,2.103,0.99105185
7466,65367890000.0,103050360000.0,263936930000.0,7.422516,80.72077,564.8899,227.24298,432519400000.0,2.103,1.2373978
7467,45721514000.0,35064517000.0,285969020000.0,14.436698,48.812263,258.72754,141.37404,366787300000.0,2.103,2.5683212
7468,43267813000.0,5970108000.0,178001480000.0,24.628483,7.398837,141.6671,89.36895,227244870000.0,2.103,3.444079
7469,22831636000.0,5150930000.0,143725940000.0,16.552711,7.1618943,150.58311,88.909195,171713990000.0,2.103,3.061596
7470,20399899000.0,6313601500.0,112035400000.0,14.60539,6.1164637,152.18121,85.96455,138760010000.0,2.103,1.7755291
7471,21467904000.0,5224599000.0,101052015000.0,11.53533,7.3222575,157.44325,92.472725,127755575000.0,2.103,2.709976
7472,2958819600.0,16948367000.0,94765360000.0,7.726312,3.1424522,242.52263,111.756836,114731570000.0,2.103,1.0568619
7473,10131172000.0,13353029000.0,81657080000.0,8.371819,3.4718945,173.60345,94.282974,105165210000.0,2.103,3.1042824
7474,7002715000.0,17644239000.0,26095403000.0,3.2039907,8.674392,245.64789,106.934586,50742354000.0,2.103,1.3417239
7477,4455984000.0,637214400.0,29258918000.0,10.276856,0.3479127,84.83236,49.675346,34352120000.0,2.103,1.1147732
7478,3297705500.0,919789500.0,14411435000.0,4.964703,1.5884886,90.02579,54.51542,18628930000.0,2.103,1.4332494
7479,1133387000.0,600581100.0,18364924000.0,7.539158,0.18787846,75.81538,45.08532,20100936000.0,2.103,2.803279
7480,956656200.0,477096800.0,18264648000.0,5.4626966,0.23415118,88.64814,51.391712,19698401000.0,2.103,1.4468472
7481,1796612000.0,141996860.0,15406501000.0,9.438142,0.11040025,63.38143,36.68754,17345108000.0,2.103,1.0148919
7487,1332866600.0,538731700.0,5900516400.0,2.9673126,0.5776668,75.93144,47.406563,7774906000.0,2.103,1.2390003
7516,291682980.0,209973900.0,1819068800.0,1.6395668,0.15669113,56.412613,35.075462,2320725500.0,2.103,0.9713966
14355,1348682800000.0,475101460000.0,12370533000000.0,105.429054,106.56698,1114.317,353.60852,14195342000000.0,2.103,2.4455965
14356,53128614000.0,11238055000.0,301907300000.0,21.774933,12.839895,192.39285,108.3783,366288860000.0,2.103,4.272084
14357,3049352400.0,29570620000.0,66756060000.0,4.0303726,8.307198,337.3912,138.58237,99476410000.0,2.103,0.79386604
14358,5117342000.0,23663696000.0,47575294000.0,2.6620204,11.144111,344.5611,144.77406,76396240000.0,2.103,0.5277935
14359,9356337000.0,15165104000.0,60832395000.0,5.1575937,10.1912985,202.38165,110.870186,85381160000.0,2.103,1.8755308
14360,22850044000.0,1703443200.0,73355800000.0,17.350998,2.2572296,110.94902,62.805626,97911730000.0,2.103,3.7611403
14361,12051108000.0,1689679200.0,86088370000.0,15.460442,2.0297952,117.89154,72.082726,99832420000.0,2.103,1.3829026
14362,12000344000.0,3323193300.0,39747715000.0,7.586411,6.3327813,125.26555,74.13325,55078072000.0,2.103,2.945167
14363,3174493400.0,1166130400.0,54366515000.0,13.456912,0.5395326,97.89252,57.678608,58711015000.0,2.103,1.2683604
14364,3514713300.0,2787792100.0,28277012000.0,5.1604505,3.727442,120.75444,70.949104,34583950000.0,2.103,2.4071395
14365,3727940900.0,2824730600.0,22660995000.0,6.3089046,0.8096188,100.19481,57.848423,29220647000.0,2.103,2.097543
14366,1530247200.0,935114200.0,27763827000.0,9.09662,0.35138315,87.25511,52.67073,30229189000.0,2.103,1.6670891
14367,3968162000.0,366505380.0,11658103000.0,5.91347,0.3715166,76.61691,44.43476,15992770000.0,2.103,2.252253
14368,1583330300.0,283698430.0,22668710000.0,8.945705,0.37953153,77.168526,45.95219,24535736000.0,2.103,1.691659
14371,2016128400.0,1021142140.0,6985423000.0,3.7984722,0.79332566,76.45124,42.832813,10022693000.0,2.103,1.1223009
14373,630315400.0,667012160.0,10721570000.0,6.41923,0.2691337,68.83243,40.16231,12018898000.0,2.103,1.4128517
14375,682773900.0,182436500.0,13050651000.0,6.0833855,0.28937373,70.426704,44.74366,13915859000.0,2.103,1.0981767
